#,SID,Group,p1da,p1meta_da,p1M_diff,p1M_ratio,p1meta_ca,exitflag1,p2da,p2meta_da,p2M_diff,p2M_ratio,p2meta_ca,exitflag2
1,1,1,1.7105665968,1.3404153552,-0.3701512416,0.7836089853,-0.0531762015,1,0.8035099997,0.7382357161,-0.0652742836,0.9187635703,-0.0614292923,1
2,2,2,1.4306444484,1.8477182506,0.4170738022,1.2915286203,0.0354364125,1,0.8031743898,0.8024937556,-0.0006806342,0.9991525698,-0.5094105349,1
3,3,2,1.1357217406,1.1909374348,0.0552156941,1.0486172732,0.4658693585,2,1.5835864844,1.8972642954,0.3136778110,1.1980806316,0.4415745367,1
4,4,1,1.2749431531,0.6942675873,-0.5806755658,0.5445478770,-0.1457650650,1,1.1530170999,0.8402762932,-0.3127408067,0.7287630802,-0.1117074311,1
5,5,2,1.3606362976,1.2724198341,-0.0882164635,0.9351652872,0.6166742317,2,0.6590658736,0.3625145964,-0.2965512772,0.5500430396,0.2720783589,1
6,6,1,1.1113002489,0.2935626464,-0.8177376025,0.2641614151,0.1118293729,1,1.1486387675,1.3056981254,0.1570593579,1.1367352055,0.4095314871,1
7,7,1,1.0424351357,0.2407178927,-0.8017172430,0.2309188212,0.1108672965,1,0.8685768411,0.6427709257,-0.2258059154,0.7400277043,0.1682525219,1
8,8,2,1.7344334751,1.5595733514,-0.1748601237,0.8991831476,0.6677328026,2,0.6923037991,2.0510442146,1.3587404155,2.9626360816,0.6563260781,2
9,9,2,1.4712537244,1.3264013987,-0.1448523257,0.9015449727,0.6537845360,2,1.2072141177,0.4275310406,-0.7796830772,0.3541468198,0.2365431229,2
10,10,1,1.4055918225,0.6432819718,-0.7623098507,0.4576591593,0.1013366602,1,1.0973580506,0.9582928038,-0.1390652468,0.8732726782,-0.0380026277,2
11,11,2,1.9915218233,1.0867362264,-0.9047855969,0.5456813045,0.2239705522,2,1.8306002547,1.0843969040,-0.7462033506,0.5923723114,0.1543208925,2
12,12,1,1.2947403308,1.5849692337,0.2902289029,1.2241599308,0.1535163572,2,1.4836372698,2.1471544594,0.6635171895,1.4472233227,0.2103219612,2
13,13,2,0.9112808233,1.4955454764,0.5842646531,1.6411466566,0.2649258289,1,0.9210705119,1.3272470226,0.4061765108,1.4409830795,0.4539265330,1
14,14,1,0.8241911813,0.5498500428,-0.2743411385,0.6671389542,-0.0200941072,2,1.0205063914,1.0233154262,0.0028090348,1.0027525892,-0.2382594291,2
15,15,2,1.5987804626,2.0115932886,0.4128128260,1.2582048228,0.1976182386,1,1.1648111138,1.2718444638,0.1070333500,1.0918890185,0.7948178019,2
16,16,1,1.2347231782,0.8864443565,-0.3482788217,0.7179296316,0.9133130115,2,1.1164860395,0.1134676513,-1.0030183883,0.1016292611,0.0866344896,1
17,17,2,1.3821671478,-0.3894351051,-1.7716022529,-0.2817568814,-0.0083536664,2,1.2240827751,-0.3357198899,-1.5598026650,-0.2742624083,-0.0207394508,1
18,18,2,0.9365397229,1.3997642030,0.4632244802,1.4946127418,0.2601473953,1,0.8994948753,1.2796331872,0.3801383119,1.4226130936,-0.0000000000,1
19,19,1,0.4447880877,0.1219871842,-0.3228009035,0.2742591080,-0.0294151140,2,1.2619888865,1.3814063186,0.1194174320,1.0946263738,0.3209721836,2
20,20,1,1.2533884938,1.0252180299,-0.2281704639,0.8179571098,0.6412824079,2,1.0331733026,0.7881802542,-0.2449930484,0.7628732297,0.6854892147,2
21,21,1,1.4367165794,1.5212496819,0.0845331025,1.0588377024,0.3490273034,2,0.3660797009,0.6553977895,0.2893180887,1.7903144807,-0.0838659698,1
22,22,2,1.5487785741,1.6524352662,0.1036566921,1.0669280257,0.5212459928,2,1.3019159791,1.6480114967,0.3460955176,1.2658355249,0.6132523566,2
23,23,1,0.9783215273,0.8576119613,-0.1207095660,0.8766156498,0.3012377562,2,1.1131523032,1.4317186020,0.3185662988,1.2861839282,0.0778032373,2
24,24,2,1.3770291634,1.4605759525,0.0835467891,1.0606717645,0.7083135958,2,1.2562000365,0.7561200084,-0.5000800281,0.6019105130,0.2960824508,2
25,25,1,0.7631162474,0.7669422857,0.0038260383,1.0050137031,0.6056984794,2,1.8737878182,0.4316297715,-1.4421580467,0.2303514663,0.2541669085,2
26,26,2,1.5793162346,0.3114426857,-1.2678735489,0.1972009651,0.2279178698,1,0.8131902615,0.4662340595,-0.3469562020,0.5733394527,0.4909749795,2
27,27,1,1.7864597032,0.7958758549,-0.9905838484,0.4455045101,0.1936483454,2,1.2289602269,0.9188650573,-0.3100951696,0.7476768061,-0.0746834375,1
28,28,2,1.2356885234,1.3880256900,0.1523371666,1.1232812021,0.0563413932,2,1.0564628022,0.8678769957,-0.1885858065,0.8214931883,0.0324120055,1
29,29,1,1.3694513587,0.9669941704,-0.4024571883,0.7061179386,0.2909755851,2,1.5325438476,1.1517867546,-0.3807570930,0.7515522355,0.2205676565,2
30,30,2,0.9230879732,0.7269155905,-0.1961723827,0.7874824628,0.0974705449,2,1.9789676639,1.7208631826,-0.2581044813,0.8695762008,0.1860344138,1
31,31,1,1.4531618644,1.3704346297,-0.0827272347,0.9430708741,0.4236581245,2,1.7590223179,1.4599856088,-0.2990367091,0.8299983428,0.3182433930,2
32,32,2,1.8230488481,2.4868986557,0.6638498076,1.3641426330,0.1939027605,1,1.2415070326,1.7665044729,0.5249974402,1.4228710965,0.3623300831,2
